234	08	22	0.977417928
235	08	23	0.977839068
236	08	24	0.978266891
237	08	25	0.978701292
238	08	26	0.979142163
239	08	27	0.979589397
240	08	28	0.980042881
241	08	29	0.980502503
242	08	30	0.980968147
243	08	31	0.981439697
244	09	01	0.981917032
245	09	02	0.982400032
246	09	03	0.982888573
247	09	04	0.983382531
248	09	05	0.983881777
249	09	06	0.984386183
250	09	07	0.984895618
251	09	08	0.985409948
252	09	09	0.985929039
253	09	10	0.986452754
254	09	11	0.986980953
255	09	12	0.987513497
256	09	13	0.988050242
257	09	14	0.988591046
258	09	15	0.989135761
259	09	16	0.98968424
260	09	17	0.990236334
261	09	18	0.990791891
262	09	19	0.991350759
263	09	20	0.991912782
264	09	21	0.992477806
265	09	22	0.993045673
266	09	23	0.993616222
267	09	24	0.994189295
268	09	25	0.994764728
269	09	26	0.995342358
270	09	27	0.99592202
271	09	28	0.996503548
272	09	29	0.997086775
273	09	30	0.997671531
274	10	01	0.998257647
275	10	02	0.998844952
276	10	03	0.999433273
277	10	04	1.000022436
278	10	05	1.000612269
279	10	06	1.001202595
280	10	07	1.001793238
281	10	08	1.002384022
282	10	09	1.002974767
283	10	10	1.003565297
284	10	11	1.004155431
285	10	12	1.00474499
286	10	13	1.005333793
287	10	14	1.005921659
288	10	15	1.006508407
289	10	16	1.007093855
290	10	17	1.00767782
291	10	18	1.008260121
292	10	19	1.008840576
293	10	20	1.009419
294	10	21	1.009995212
295	10	22	1.010569028
296	10	23	1.011140267
297	10	24	1.011708745
298	10	25	1.01227428
299	10	26	1.012836691
300	10	27	1.013395795
301	10	28	1.013951411
302	10	29	1.014503359
303	10	30	1.015051458
304	10	31	1.015595529
305	11	01	1.016135393
306	11	02	1.016670873
307	11	03	1.01720179
308	11	04	1.017727969
309	11	05	1.018249235
310	11	06	1.018765413
311	11	07	1.019276331
312	11	08	1.019781817
313	11	09	1.020281701
314	11	10	1.020775813
315	11	11	1.021263986
316	11	12	1.021746055
317	11	13	1.022221854
318	11	14	1.022691221
319	11	15	1.023153996
320	11	16	1.023610019
321	11	17	1.024059133
322	11	18	1.024501183
323	11	19	1.024936016
324	11	20	1.025363481
325	11	21	1.025783429
326	11	22	1.026195714
327	11	23	1.026600191
328	11	24	1.026996718
329	11	25	1.027385157
330	11	26	1.02776537
331	11	27	1.028137224
332	11	28	1.028500587
333	11	29	1.02885533
334	11	30	1.029201328
335	12	01	1.029538456
336	12	02	1.029866596
337	12	03	1.030185629
338	12	04	1.030495442
339	12	05	1.030795924
340	12	06	1.031086966
341	12	07	1.031368465
342	12	08	1.031640319
343	12	09	1.031902429
344	12	10	1.0321547
345	12	11	1.032397043
346	12	12	1.032629368
347	12	13	1.032851591
348	12	14	1.033063632
349	12	15	1.033265413
350	12	16	1.033456861
351	12	17	1.033637905
352	12	18	1.03380848
353	12	19	1.033968522
354	12	20	1.034117974
355	12	21	1.03425678
356	12	22	1.034384889
357	12	23	1.034502254
358	12	24	1.034608831
359	12	25	1.034704581
360	12	26	1.034789469
361	12	27	1.034863462
362	12	28	1.034926533
363	12	29	1.034978659
364	12	30	1.03501982
365	12	31	1.03505
