    99   user defined
         0.4000         0.1454
         0.4100         0.1501
         0.4200         0.1549
         0.4300         0.1617
         0.4400         0.1692
         0.4500         0.1756
         0.4600         0.1796
         0.4700         0.1827
         0.4800         0.1867
         0.4900         0.1917
         0.5000         0.1975
         0.5100         0.2036
         0.5200         0.2094
         0.5300         0.2158
         0.5400         0.2219
         0.5500         0.2288
         0.5600         0.2356
         0.5700         0.2427
         0.5800         0.2485
         0.5900         0.2522
         0.6000         0.2558
         0.6100         0.2573
         0.6200         0.2576
         0.6300         0.2584
         0.6400         0.2589
         0.6500         0.2591
         0.6600         0.2594
         0.6700         0.2605
         0.6800         0.2607
         0.6900         0.2599
         0.7000         0.2607
         0.7100         0.2611
         0.7200         0.2608
         0.7300         0.2618
         0.7400         0.2624
         0.7500         0.2629
         0.7600         0.2628
         0.7700         0.2637
         0.7800         0.2641
         0.7900         0.2642
         0.8000         0.2642
         0.8100         0.2639
         0.8200         0.2630
         0.8300         0.2625
         0.8400         0.2618
         0.8500         0.2608
         0.8600         0.2601
         0.8700         0.2590
         0.8800         0.2586
         0.8900         0.2581
         0.9000         0.2580
         0.9100         0.2586
         0.9200         0.2586
         0.9300         0.2596
         0.9400         0.2609
         0.9500         0.2615
         0.9600         0.2620
         0.9700         0.2627
         0.9800         0.2644
         0.9900         0.2648
