390	0.0000 	0.0000 	0.0000 	0.0000 
400	0.0000 	0.0000 	0.0000 	0.0000 
410	0.0000 	0.0000 	0.0000 	0.0000 
420	0.0000 	0.0000 	0.0000 	0.0000 
430	0.2000 	0.0000 	0.0000 	0.0000 
440	0.7143 	0.0000 	0.0000 	0.0000 
450	0.8889 	0.0000 	0.0000 	0.0000 
460	0.9167 	0.0000 	0.0000 	0.0000 
470	0.9412 	0.0000 	0.0000 	0.0000 
480	0.9583 	0.0000 	0.0000 	0.0000 
490	0.9412 	0.0000 	0.0000 	0.0000 
500	0.9545 	0.0000 	0.0000 	0.0000 
510	0.9091 	0.0182 	0.0000 	0.0000 
520	0.8030 	0.1212 	0.0000 	0.0000 
530	0.4156 	0.4805 	0.0000 	0.0000 
540	0.0843 	0.7711 	0.0000 	0.0000 
550	0.0521 	0.8229 	0.0000 	0.0000 
560	0.0348 	0.8522 	0.0000 	0.0000 
570	0.0236 	0.8819 	0.0000 	0.0000 
580	0.0149 	0.8731 	0.0000 	0.0000 
590	0.0219 	0.8540 	0.0093 	0.0000 
600	0.0146 	0.8029 	0.0306 	0.0000 
610	0.0117 	0.5898 	0.0684 	0.0000 
620	0.0069 	0.2188 	0.2401 	0.0000 
630	0.0032 	0.0357 	0.5598 	0.0000 
640	0.0062 	0.0000 	0.6938 	0.0000 
650	0.0058 	0.0000 	0.6975 	0.0000 
660	0.0056 	0.0000 	0.7056 	0.0000 
670	0.0027 	0.0000 	0.7135 	0.0000 
680	0.0026 	0.0000 	0.7161 	0.0000 
690	0.0000 	0.0000 	0.5884 	0.0000 
700	0.0025 	0.0000 	0.2756 	0.0000 
710	0.0024 	0.0000 	0.0831 	0.0000 
720	0.0024 	0.0000 	0.0296 	0.0025 
730	0.0024 	0.0000 	0.0132 	0.0105 
740	0.0023 	0.0000 	0.0054 	0.0327 
750	0.0022 	0.0000 	0.0028 	0.1034 
760	0.0000 	0.0000 	0.0028 	0.2784 
770	0.0000 	0.0000 	0.0000 	0.5867 
780	0.0000 	0.0000 	0.0000 	0.7953 
790	0.0000 	0.0000 	0.0000 	0.8378 
800	0.0000 	0.0000 	0.0000 	0.8171 
810	0.0027 	0.0000 	0.0000 	0.7895 
820	0.0028 	0.0000 	0.0000 	0.7644 
830	0.0056 	0.0000 	0.0000 	0.7408 
840	0.0056 	0.0000 	0.0000 	0.7096 
850	0.0056 	0.0000 	0.0000 	0.6827 
860	0.0055 	0.0000 	0.0000 	0.6701 
870	0.0027 	0.0000 	0.0000 	0.6734 
880	0.0026 	0.0000 	0.0000 	0.6782 
890	0.0025 	0.0000 	0.0000 	0.6732 
900	0.0000 	0.0000 	0.0000 	0.6884 
910	0.0000 	0.0000 	0.0000 	0.6651 
920	0.0000 	0.0000 	0.0000 	0.3652 
930	0.0000 	0.0000 	0.0000 	0.1151 
940	0.0000 	0.0000 	0.0000 	0.0316 
950	0.0000 	0.0000 	0.0000 	0.0100 
960	0.0000 	0.0000 	0.0026 	0.0026 
970	0.0000 	0.0000 	0.0028 	0.0000 
980	0.0000 	0.0000 	0.0000 	0.0000 
990	0.0000 	0.0000 	0.0000 	0.0000 
1000	0.0025 	0.0000 	0.0000 	0.0000 
1010	0.0027 	0.0000 	0.0000 	0.0000 
