1	0.232	0.198	0.198	0.207
2	0.272	0.216	0.218	0.233
3	0.244	0.222	0.23	0.251
4	0.239	0.208	0.216	0.234
5	0.28	0.25	0.256	0.279
6	0.221	0.192	0.197	0.211
7	0.373	0.304	0.301	0.325
8	0.21	0.197	0.211	0.235
9	0.421	0.342	0.344	0.373
9	0.312	0.259	0.262	0.284
10	0.217	0.199	0.209	0.23
11	0.236	0.205	0.212	0.232
12	0.259	0.235	0.246	0.269
13	0.217	0.199	0.212	0.237
14	0.305	0.266	0.271	0.294
15	0.206	0.195	0.209	0.231
16	0.35	0.294	0.297	0.32
16	0.29	0.226	0.227	0.247
17	0.233	0.227	0.241	0.263
18	0.288	0.234	0.238	0.26
19	0.242	0.227	0.24	0.266
20	0.288	0.263	0.277	0.307
21	0.28	0.259	0.269	0.291
22	0.331	0.316	0.331	0.363
23	0.341	0.304	0.311	0.335
24	0.21	0.203	0.218	0.24
25	0.374	0.307	0.309	0.337
25	0.258	0.219	0.224	0.246
26	0.228	0.22	0.234	0.258
27	0.239	0.214	0.223	0.245
28	0.391	0.353	0.366	0.406
29	0.227	0.213	0.225	0.246
30	0.31	0.284	0.294	0.319
31	0.305	0.284	0.295	0.322
32	0.343	0.298	0.305	0.333
32	0.266	0.228	0.232	0.254
33	0.218	0.215	0.231	0.255
34	0.333	0.318	0.345	0.395
35	0.307	0.297	0.312	0.342
36	0.398	0.376	0.397	0.444
37	0.356	0.326	0.335	0.367
38	0.299	0.292	0.312	0.348
39	0.413	0.363	0.368	0.399
40	0.223	0.222	0.24	0.266
41	0.394	0.331	0.332	0.355
41	0.303	0.264	0.275	0.305
42	0.242	0.234	0.25	0.277
43	0.255	0.234	0.249	0.28
44	0.27	0.256	0.271	0.299
45	0.219	0.213	0.233	0.263
46	0.301	0.278	0.287	0.31
47	0.261	0.249	0.262	0.285
48	0.352	0.306	0.313	0.342
48	0.293	0.251	0.265	0.302
49	0.22	0.222	0.241	0.268
50	0.232	0.214	0.227	0.254
51	0.244	0.243	0.261	0.287
52	0.523	0.484	0.501	0.553
53	0.273	0.253	0.263	0.285
54	0.216	0.217	0.236	0.267
55	0.315	0.291	0.303	0.333
56	0.235	0.222	0.23	0.248
57	0.36	0.309	0.313	0.339
57	0.263	0.234	0.245	0.273
58	0.331	0.326	0.343	0.378
59	0.247	0.231	0.246	0.276
60	0.261	0.257	0.273	0.303
61	0.209	0.21	0.232	0.262
62	0.295	0.279	0.292	0.321
63	0.207	0.211	0.234	0.261
64	0.317	0.288	0.302	0.334
65	0.225	0.224	0.242	0.267
66	0.26	0.243	0.259	0.29
67	0.247	0.251	0.269	0.298
68	0.302	0.287	0.306	0.341
69	0.346	0.338	0.353	0.392
70	0.303	0.295	0.311	0.34
71	0.311	0.283	0.294	0.324
72	0.215	0.221	0.244	0.27
73	0.335	0.295	0.306	0.333
73	0.242	0.229	0.246	0.276
74	0.245	0.256	0.278	0.308
75	0.297	0.291	0.312	0.346
76	0.26	0.26	0.279	0.308
77	0.215	0.21	0.224	0.243
78	0.328	0.327	0.346	0.38
79	0.244	0.247	0.265	0.29
80	0.341	0.312	0.32	0.348
80	0.279	0.258	0.273	0.307
81	0.231	0.237	0.257	0.282
82	0.243	0.235	0.252	0.283
83	0.243	0.248	0.268	0.293
84	0.21	0.216	0.237	0.268
85	0.535	0.501	0.511	0.553
86	0.222	0.23	0.252	0.278
87	0.291	0.277	0.29	0.317
88	0.224	0.226	0.244	0.267
89	0.315	0.284	0.295	0.317
89	0.232	0.221	0.236	0.263
90	0.266	0.264	0.283	0.31
91	0.219	0.218	0.238	0.267
92	0.257	0.259	0.278	0.31
93	0.234	0.242	0.267	0.3
94	0.292	0.278	0.29	0.314
95	0.219	0.23	0.256	0.284
96	0.289	0.272	0.29	0.316
97	0.223	0.239	0.266	0.294
98	0.635	0.59	0.6	0.654
99	0.296	0.29	0.304	0.328
100	0.229	0.231	0.249	0.276
101	0.261	0.263	0.283	0.309
102	0.211	0.225	0.252	0.28
103	0.284	0.277	0.293	0.321
104	0.235	0.239	0.26	0.283
105	0.69	0.637	0.656	0.716
105	0.617	0.56	0.574	0.637
106	0.305	0.307	0.324	0.354
107	0.254	0.247	0.262	0.285
108	0.281	0.275	0.29	0.316
109	0.228	0.235	0.257	0.28
110	0.446	0.424	0.435	0.469
111	0.206	0.216	0.24	0.265
112	0.282	0.269	0.285	0.309
112	0.222	0.217	0.232	0.258
113	0.317	0.314	0.331	0.358
